"","fullname","basename","qa_date","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","night_hrs_bl","max_1hr_avg","Daily_avg","Daily_sd","max_1hr_avg_flag","Daily_avg_flag","Daily_stdev_flag","elevated_night_flag","nonresponsive_flag","sample_duration_flag","bl_flag","flag_total","flags"
"1","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/AmbientLAS/2019-09-20_KE777-KE004-A_CAA013","2019-09-20_KE777-KE004-A_CAA013",2019-10-30,"KE777-KE004-A",NA,"A",4,777,"CAA013",0.000277777777777778,1.94791666666667,0,0.133333333333333,0.00374198146828225,0.128352663119922,0,0,0,0,0,0,0,0,""
"2","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/AmbientLAS/2019-09-27_KE777-KE004-A_LAS1476","2019-09-27_KE777-KE004-A_LAS1476",2019-10-30,"KE777-KE004-A",NA,"A",4,777,"LAS1476",0.000277777777777778,4.31388888888889,0,2.39166666666667,0.0359729599227426,0.399555057478213,0,0,0,0,0,0,0,0,""
"3","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/AmbientLAS/2019-10-04_KE777-KE004-A_LAS1404","2019-10-04_KE777-KE004-A_LAS1404",2019-10-30,"KE777-KE004-A",NA,"A",4,777,"LAS1404",0.000277777777777778,4.03611111111111,0,0.141025641025641,0.000946155169447789,0.0285723509819293,0,0,0,0,0,0,0,0,""
"4","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/AmbientLAS/2019-10-08_KE777-KE004-A_LAS1497","2019-10-08_KE777-KE004-A_LAS1497",2019-10-30,"KE777-KE004-A",NA,"A",4,777,"LAS1497",0.000277777777777778,6.99930555555556,0,0,0,0,0,0,0,0,1,0,0,1,"nonresponsive"
"5","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/AmbientLAS/2019-10-18_KE777-KE004-A_LAS1403","2019-10-18_KE777-KE004-A_LAS1403",2019-10-30,"KE777-KE004-A",NA,"A",4,777,"LAS1403",0.000277777777777778,4.37013888888889,2.5,4.49166666666667,2.72759771210677,1.06961830164038,0,0,0,0,0,0,0,0,""
"6","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/AmbientLAS/2019-10-25_KE777-KE05-A_LAS1459","2019-10-25_KE777-KE05-A_LAS1459",2019-10-30,"KE777-KE05-A",NA,"A",5,777,"LAS1459",0.000277777777777778,3.35208333333333,0,1.05833333333333,0.0219552609776305,0.24895586486564,0,0,0,0,0,0,0,0,""
"7","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-09-17_KE001-KE777-K_LAS1478","2019-09-17_KE001-KE777-K_LAS1478",2019-10-30,"KE001-KE777-K",NA,"K",777,1,"LAS1478",0.000277777777777778,1.24027777777778,0,42.45,2.00503637381086,8.98240642793668,0,0,1,0,0,0,0,1,"Daily_stdev"
"8","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-09-17_KE001-KE777-L_LAS1416","2019-09-17_KE001-KE777-L_LAS1416",2019-10-30,"KE001-KE777-L",NA,"L",777,1,"LAS1416",0.000277777777777778,1.24166666666667,0,23.0833333333333,2.612073784237,7.61223917375175,0,0,1,0,0,0,0,1,"Daily_stdev"
"9","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-09-19_KE152-KE004-L_CAA012","2019-09-19_KE152-KE004-L_CAA012",2019-10-30,"KE152-KE004-L",NA,"L",4,152,"CAA012",0.000277777777777778,1.19305555555556,9.48,111.575,14.3426410703898,31.9084672455653,1,1,1,1,0,0,1,5,"max_1hr_avg, Daily_avg, Daily_stdev, elevated_night, bl"
"10","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-09-19_KE152-KE005-K_CAA020","2019-09-19_KE152-KE005-K_CAA020",2019-10-30,"KE152-KE005-K",NA,"K",5,152,"CAA020",0.000277777777777778,6.00069444444444,0,54.7083333333333,0.436530895626012,6.49811859925376,0,0,1,0,0,0,0,1,"Daily_stdev"
